stn    time           tre200dx  tre200dn  tre200d0
ALT    20180521           23.4      10.0      16.2
ALT    20180522           22.5       7.7      16.0
ALT    20180523           21.4      12.3      16.8
ALT    20180524           22.8      13.7      18.0
ALT    20180525           26.0      10.5      18.1
ALT    20180526           26.3      11.9      18.8
ALT    20180527           26.3      11.8      19.9
ALT    20180528           27.1      14.2      22.4
ALT    20180529           22.5      12.3      18.8
ALT    20180530           26.1      11.0      19.2
ALT    20180531           25.0      14.2      19.8
ALT    20180601           24.3      13.4      18.9
ALT    20180602           24.5      13.1      19.5
ALT    20180603           25.6      13.0      19.5
ALT    20180604           24.3      14.0      20.0
ALT    20180605           25.3      14.7      19.9
ALT    20180606           25.1      15.3      20.8
ALT    20180607           24.1      17.2      20.4
ALT    20180608           22.4      14.9      18.8
ALT    20180609           25.6      15.4      19.9
ALT    20180610           26.6      14.2      20.3
ALT    20180611           22.0      14.8      18.5
ALT    20180612           21.3      15.0      17.0
ALT    20180613           15.4      12.3      14.5
ALT    20180614           20.7      10.6      16.1
ALT    20180615           22.7      10.0      17.1
ALT    20180616           24.0      11.0      18.4
ALT    20180617           20.8      12.9      17.3
ALT    20180618           23.6      15.1      19.2
ALT    20180619           25.3      13.5      20.0
ALT    20180620           27.6      12.9      21.1
ALT    20180621           28.0      16.2      21.7
ALT    20180622           20.3      12.6      16.6
ALT    20180623           21.1       8.8      15.7
ALT    20180624           19.6       8.5      15.3
ALT    20180625           23.6      12.7      17.9
ALT    20180626           25.9       9.1      18.4
ALT    20180627           25.9      11.6      19.3
ALT    20180628           23.4      10.5      17.9
ALT    20180629           25.4      11.3      19.4
ALT    20180630           29.5      14.0      22.2
ALT    20180701           29.4      14.9      22.7
ALT    20180702           28.8      15.6      22.1
ALT    20180703           25.6      15.4      21.0
ALT    20180704           27.9      14.4      20.7
ALT    20180705           21.1      14.9      17.6
ALT    20180706           21.5      14.2      17.3
ALT    20180707           26.1      12.8      19.0
ALT    20180708           26.6      12.5      21.1
ALT    20180709           27.0      14.1      21.2
ALT    20180710           23.3      15.2      19.6
ALT    20180711           21.6      14.1      18.9
ALT    20180712           25.0      10.6      19.0
ALT    20180713           27.7      12.3      20.0
ALT    20180714           28.1      15.1      21.0
ALT    20180715           27.5      13.8      19.6
ALT    20180716           26.6      12.3      19.9
ALT    20180717           27.3      15.9      20.2
ALT    20180718           27.9      12.7      20.9
ALT    20180719           28.3      14.4      22.1
ALT    20180720           29.0      15.5      20.2
ALT    20180721           21.1      14.9      17.5
ALT    20180722           22.3      14.8      18.5
ALT    20180723           23.8      14.9      18.9
ALT    20180724           27.9      12.2      20.7
ALT    20180725           29.6      16.6      22.8
ALT    20180726           30.7      15.0      22.8
ALT    20180727           29.6      15.1      22.8
ALT    20180728           24.0      15.4      19.9
ALT    20180729           28.8      14.1      21.9
ALT    20180730           30.9      16.3      24.0
ALT    20180731           31.1      15.9      24.3
ALT    20180801           30.0      16.9      21.7
ALT    20180802           29.3      16.6      22.8
ALT    20180803           31.2      16.7      23.4
ALT    20180804           32.1      17.5      24.8
ALT    20180805           32.0      17.1      24.7
ALT    20180806           31.1      18.3      23.0
ALT    20180807           28.7      18.1      24.1
ALT    20180808           27.4      16.0      23.2
ALT    20180809           32.1      15.2      21.7
ALT    20180810           20.2      15.0      17.7
ALT    20180811           23.7      12.7      18.4
